CASO NÚMERO,ESTADO DEL CASO,COORDENADAS , EXHUMACION,ESTADO DEL PROCESO,DEPARTAMENTO,MUNICIPIO,LATITUD,LONGITUD,COORDENADAS
CIH-0010-15,CERRADO,"-76,5657778","8,46536111",NO_IDENTIFICADO,ANTIOQUIA,NECOCLÍ,8.46536111,-76.5657778,"8.46536111,-76.5657778"
CIH-0010-16,CERRADO,"-76,3","7,25741667",IDENTIF_ENTREGADO,CHOCÓ,CARMEN DEL DARIEN,7.25741667,-76.3,"7.25741667,-76.3"
CIH-0010-17,CERRADO,"-74,8544722","6,63880556",IDENTIF_ENTREGADO,ANTIOQUIA,YOLOMBÓ,6.63880556,-74.8544722,"6.63880556,-74.8544722"
CIH-0011-14,PEND.RESULT.GENETICA,"-75,78777778","7,03",NO_IDENTIFICADO,ANTIOQUIA,SABANALARGA,7.03,-75.78777778,"7.03,-75.78777778"
CIH-0011-15,CERRADO,"-75,4516667","7,60222222",IDENTIF_ENTREGADO,ANTIOQUIA,VALDIVIA,7.60222222,-75.4516667,"7.60222222,-75.4516667"
CIH-0011-16,PEND.RESULT.GENETICA,"-76,6321389","7,25705556",IDENTIF_NO_ENTREGADO,CHOCÓ,CARMEN DEL DARIEN,7.25705556,-76.6321389,"7.25705556,-76.6321389"
CIH-0011-17,CERRADO,"-75,9164167","6,80588889",IDENTIF_ENTREGADO,ANTIOQUIA,BURITICÁ,6.80588889,-75.9164167,"6.80588889,-75.9164167"
CIH-0012-14,CERRADO,"-75,79611111","7,024166667",NO_IDENTIFICADO,ANTIOQUIA,SABANALARGA,7.024166667,-75.79611111,"7.024166667,-75.79611111"
CIH-0012-15,CERRADO,"-75,4516667 ","7,60222222",,ANTIOQUIA,VALDIVIA,7.60222222,-75.4516667 ,"7.60222222,-75.4516667 "
CIH-0012-16,CERRADO,"-76,6338056","7,25825",IDENTIF_ENTREGADO,CHOCÓ,CARMEN DEL DARIEN,7.25825,-76.6338056,"7.25825,-76.6338056"
CIH-0012-17,PEND.RESULT.GENETICA,"-75,9164767","6,80588889",NO_IDENTIFICADO,ANTIOQUIA,BURITICÁ,6.80588889,-75.9164767,"6.80588889,-75.9164767"
CIH-0013-14,CERRADO,"-75,79611111","7,024166667",IDENTIF_NO_ENTREGADO,ANTIOQUIA,SABANALARGA,7.024166667,-75.79611111,"7.024166667,-75.79611111"
